date;etendu;max;min
04-11-2022;5809.0;5810.0;1.0
05-11-2022;6072.0;6073.0;1.0
06-11-2022;4280.0;4281.0;1.0
07-11-2022;4253.0;4254.0;1.0
08-11-2022;1598.0;1599.0;1.0
09-11-2022;1557.0;1558.0;1.0
10-11-2022;1607.0;1608.0;1.0
11-11-2022;4100.0;4101.0;1.0
12-11-2022;6619.0;6620.0;1.0
01-11-2023;6399.0;6400.0;1.0
02-11-2023;6457.0;6480.0;23.0
03-11-2023;6419.0;6420.0;1.0
04-11-2023;2087.0;2151.0;64.0
05-11-2023;2070.0;2151.0;81.0
06-11-2023;2150.0;2151.0;1.0
