date;median
04-11-2022;386.0
05-11-2022;361.0
06-11-2022;296.0
07-11-2022;285.0
08-11-2022;230.0
09-11-2022;298.0
10-11-2022;317.0
11-11-2022;274.0
12-11-2022;238.0
01-11-2023;293.0
02-11-2023;298.0
03-11-2023;294.0
04-11-2023;303.0
05-11-2023;303.0
06-11-2023;213.0
